timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
1731296260703,0,INSERT,1177,100.16,51.78,59.90,57.73,68.67,85.82,95.23
1731296260703,1,INSERT,503,189.44,53.15,59.23,58.56,62.30,68.48,77.44
1731296260703,2,INSERT,251,116.29,54.85,65.69,64.86,72.89,83.78,106.81
1731296260703,3,INSERT,5,120.70,96.06,107.41,100.61,120.70,120.70,120.70
1731296261206,0,INSERT,1256,121.09,52.64,63.75,63.52,69.06,79.30,97.09
1731296261206,1,INSERT,503,110.59,54.34,64.77,64.70,71.23,76.42,80.70
1731296261206,2,INSERT,251,167.94,61.50,73.49,71.10,82.43,95.30,167.94
1731296261206,3,INSERT,5,134.78,101.12,120.44,128.38,134.78,134.78,134.78
1731296261709,0,INSERT,1256,128.38,57.82,65.46,64.29,71.42,85.95,127.55
1731296261709,1,INSERT,503,100.42,54.05,65.45,64.83,72.58,81.15,90.11
1731296261709,2,INSERT,251,123.58,62.11,72.27,70.53,80.58,94.91,123.58
1731296261709,3,INSERT,5,133.12,92.29,109.06,108.35,133.12,133.12,133.12
1731296262212,0,INSERT,1184,768.00,57.02,65.41,63.07,71.55,89.92,179.07
1731296262212,1,INSERT,503,79.36,54.50,62.99,63.01,68.03,73.92,77.82
1731296262212,2,INSERT,252,100.73,61.76,69.54,68.67,74.94,83.01,100.73
1731296262212,3,INSERT,5,106.81,94.72,101.69,101.89,106.81,106.81,106.81
1731296262715,0,INSERT,1239,114.17,52.99,61.91,61.53,67.78,84.99,110.53
1731296262715,1,INSERT,503,98.30,54.18,64.24,64.32,69.38,74.17,86.02
1731296262715,2,INSERT,251,107.84,61.60,70.75,70.02,76.73,86.40,107.84
1731296262715,3,INSERT,5,132.22,100.93,108.39,103.49,132.22,132.22,132.22
1731296263217,0,INSERT,1256,98.56,52.96,61.78,61.09,68.80,78.33,94.40
1731296263217,1,INSERT,502,122.75,54.46,67.58,67.45,75.33,87.49,108.42
1731296263217,2,INSERT,252,102.72,64.00,73.20,71.74,80.77,93.50,102.72
1731296263217,3,INSERT,5,141.95,109.57,122.81,114.75,141.95,141.95,141.95
1731296263720,0,INSERT,1095,1055.74,51.36,63.55,58.88,72.64,90.43,1035.78
1731296263720,1,INSERT,502,121.60,56.32,65.69,64.83,70.78,82.81,105.66
1731296263720,2,INSERT,251,846.34,60.22,73.96,68.29,78.02,126.78,846.34
1731296263720,3,INSERT,5,120.13,98.56,112.47,114.43,120.13,120.13,120.13
1731296264223,0,INSERT,1140,167.55,51.36,61.43,58.66,72.19,94.14,106.24
1731296264223,1,INSERT,502,103.61,53.82,65.77,65.15,70.78,77.69,88.06
1731296264223,2,INSERT,252,103.42,55.23,62.58,61.05,68.09,94.91,103.42
1731296264223,3,INSERT,5,136.70,93.44,107.62,105.73,136.70,136.70,136.70
1731296264726,0,INSERT,1218,104.19,51.42,58.99,57.09,65.73,85.44,95.49
1731296264726,1,INSERT,503,107.71,53.06,58.78,58.37,61.95,68.93,78.53
1731296264726,2,INSERT,251,126.72,56.06,62.73,60.93,68.29,81.73,126.72
1731296264726,3,INSERT,5,138.37,102.98,117.49,111.04,138.37,138.37,138.37
1731296265229,0,INSERT,1256,116.86,51.74,57.15,56.73,60.38,66.94,75.45
1731296265229,1,INSERT,502,72.38,54.05,59.23,58.62,62.98,70.53,71.61
1731296265229,2,INSERT,252,94.91,54.62,63.77,63.30,68.80,77.38,94.91
1731296265229,3,INSERT,5,112.70,100.93,107.36,108.22,112.70,112.70,112.70
1731296265732,0,INSERT,1176,228.74,51.71,60.39,57.89,69.38,87.23,119.94
1731296265732,1,INSERT,504,208.51,54.14,61.92,60.54,67.14,82.50,109.82
1731296265732,2,INSERT,252,106.62,57.12,64.44,63.01,70.33,92.67,106.62
1731296265732,3,INSERT,5,141.57,102.72,124.61,129.53,141.57,141.57,141.57
1731296266239,0,INSERT,1266,94.40,51.23,57.83,57.25,61.44,70.97,92.16
1731296266239,1,INSERT,506,177.41,54.78,61.79,61.28,65.28,69.82,78.14
1731296266239,2,INSERT,252,111.04,55.39,62.74,61.76,67.97,81.66,111.04
1731296266239,3,INSERT,5,111.36,101.18,105.88,104.51,111.36,111.36,111.36
1731296266742,0,INSERT,1256,81.86,51.17,58.21,57.47,62.53,71.36,76.61
1731296266742,1,INSERT,503,96.13,55.33,62.05,61.18,66.88,77.06,86.02
1731296266742,2,INSERT,251,114.81,56.06,63.99,62.62,68.80,86.08,114.81
1731296266742,3,INSERT,5,132.35,94.02,104.59,97.79,132.35,132.35,132.35
1731296267245,0,INSERT,1174,1248.26,51.62,63.25,58.81,70.46,91.33,823.81
1731296267245,1,INSERT,503,429.06,57.22,64.74,63.71,68.42,75.58,86.46
1731296267245,2,INSERT,251,1331.20,55.71,67.21,61.47,67.52,77.76,1331.20
1731296267245,3,INSERT,5,103.81,89.09,95.87,96.38,103.81,103.81,103.81
1731296267748,0,INSERT,1181,104.89,50.94,59.53,57.25,68.35,87.87,104.58
1731296267748,1,INSERT,502,162.30,53.89,60.91,59.94,65.18,78.85,146.05
1731296267748,2,INSERT,252,124.73,55.30,65.09,62.85,73.98,96.06,124.73
1731296267748,3,INSERT,6,127.30,102.91,113.54,112.51,117.69,127.30,127.30
1731296268251,0,INSERT,1257,89.73,51.65,57.58,56.96,60.96,70.08,84.54
1731296268251,1,INSERT,502,76.80,53.22,61.67,61.66,66.05,72.06,74.94
1731296268251,2,INSERT,251,108.61,58.56,71.09,70.53,81.47,93.89,108.61
1731296268251,3,INSERT,5,123.01,93.82,105.82,103.04,123.01,123.01,123.01
1731296268754,0,INSERT,1197,1233.92,51.49,60.99,57.89,67.97,90.88,172.54
1731296268754,1,INSERT,502,95.04,53.41,61.81,61.22,67.39,77.69,94.91
1731296268754,2,INSERT,252,117.06,55.94,69.08,67.45,77.82,97.66,117.06
1731296268754,3,INSERT,5,135.81,100.86,121.13,123.01,135.81,135.81,135.81
1731296269257,0,INSERT,1210,1168.38,53.18,64.68,62.08,67.97,91.71,1144.83
1731296269257,1,INSERT,503,144.64,53.54,65.39,65.31,71.74,78.85,81.15
1731296269257,2,INSERT,251,105.41,56.77,71.15,68.73,82.62,100.67,105.41
1731296269257,3,INSERT,5,145.02,95.81,117.86,121.47,145.02,145.02,145.02
1731296269759,0,INSERT,1256,122.17,52.29,64.44,63.52,71.61,86.97,114.37
1731296269759,1,INSERT,503,124.09,54.27,65.64,65.38,71.87,83.90,120.06
1731296269759,2,INSERT,252,114.81,57.54,75.78,75.26,86.53,107.33,114.81
1731296269759,3,INSERT,5,128.25,94.46,105.80,99.39,128.25,128.25,128.25
1731296270262,0,INSERT,1228,168.57,51.36,61.70,61.38,66.81,81.92,106.81
1731296270262,1,INSERT,503,92.80,53.79,66.15,66.05,72.19,79.68,84.73
1731296270262,2,INSERT,251,131.84,57.34,74.33,73.73,86.02,92.54,131.84
1731296270262,3,INSERT,5,116.35,103.30,107.50,105.66,116.35,116.35,116.35
1731296270765,0,INSERT,1192,788.48,51.74,60.81,58.40,66.88,90.11,102.21
1731296270765,1,INSERT,503,132.22,54.91,67.73,66.24,78.66,95.42,110.53
1731296270765,2,INSERT,251,146.18,55.58,74.02,72.89,85.18,107.45,146.18
1731296270765,3,INSERT,5,124.16,93.38,109.56,109.12,124.16,124.16,124.16
1731296271268,0,INSERT,1214,158.21,51.49,57.84,56.29,62.59,81.47,116.48
1731296271268,1,INSERT,503,191.87,52.80,63.57,62.75,69.82,77.25,85.12
1731296271268,2,INSERT,251,127.81,56.86,72.49,71.55,83.65,94.14,127.81
1731296271268,3,INSERT,5,110.21,90.82,102.04,103.04,110.21,110.21,110.21
1731296271771,0,INSERT,1107,1148.93,50.91,64.15,60.96,75.14,89.66,119.87
1731296271771,1,INSERT,502,118.14,52.29,64.95,64.58,70.91,79.74,115.39
1731296271771,2,INSERT,251,114.43,53.06,61.64,59.45,68.22,98.56,114.43
1731296271771,3,INSERT,5,128.96,90.56,115.22,120.51,128.96,128.96,128.96
1731296272274,0,INSERT,1174,825.34,51.55,63.12,59.87,71.94,92.54,793.09
1731296272274,1,INSERT,502,125.44,52.74,61.16,60.45,66.56,78.27,116.73
1731296272274,2,INSERT,252,86.66,52.99,61.98,61.73,68.16,77.25,86.66
1731296272274,3,INSERT,5,126.27,94.78,107.63,102.59,126.27,126.27,126.27
1731296272777,0,INSERT,1257,84.35,51.49,57.68,57.09,61.63,67.58,79.36
1731296272777,1,INSERT,502,117.31,55.26,63.72,62.88,69.82,77.57,103.55
1731296272777,2,INSERT,251,104.00,54.27,64.81,64.25,71.30,79.42,104.00
1731296272777,3,INSERT,5,133.12,102.40,116.71,110.21,133.12,133.12,133.12
1731296273280,0,INSERT,1257,99.97,51.68,58.09,57.22,62.21,74.69,97.73
1731296273280,1,INSERT,503,92.09,54.37,64.60,63.77,71.74,80.51,83.33
1731296273280,2,INSERT,252,96.32,57.98,70.40,69.06,79.49,91.20,96.32
1731296273280,3,INSERT,5,116.86,99.07,108.72,112.64,116.86,116.86,116.86
1731296273783,0,INSERT,1175,808.45,50.75,60.06,57.12,66.94,87.87,212.35
1731296273783,1,INSERT,503,103.87,53.50,62.80,62.43,68.67,74.62,82.56
1731296273783,2,INSERT,251,102.33,55.49,66.45,66.05,73.28,91.45,102.33
1731296273783,3,INSERT,5,137.34,93.70,110.90,105.22,137.34,137.34,137.34
1731296274286,0,INSERT,1256,92.16,51.23,58.04,56.93,64.25,73.28,81.02
1731296274286,1,INSERT,503,102.72,52.74,62.15,61.63,67.14,73.98,96.70
1731296274286,2,INSERT,252,116.61,55.17,66.30,66.17,72.51,78.53,116.61
1731296274286,3,INSERT,5,116.86,95.68,106.07,105.92,116.86,116.86,116.86
1731296274789,0,INSERT,1256,104.58,51.55,57.31,56.77,60.73,68.48,102.02
1731296274789,1,INSERT,503,110.53,53.47,62.56,61.85,68.48,80.58,98.05
1731296274789,2,INSERT,251,117.82,54.56,67.56,67.14,74.81,100.73,117.82
1731296274789,3,INSERT,5,130.43,98.88,115.35,114.24,130.43,130.43,130.43
1731296275292,0,INSERT,1201,178.81,51.26,59.83,57.82,66.37,89.92,169.98
1731296275292,1,INSERT,503,74.37,52.90,61.07,60.70,67.20,72.32,73.98
1731296275292,2,INSERT,252,89.47,55.23,66.08,66.17,72.64,80.13,89.47
1731296275292,3,INSERT,5,104.58,91.65,97.77,98.94,104.58,104.58,104.58
1731296275795,0,INSERT,1136,806.40,51.55,63.61,58.78,74.05,94.08,803.33
1731296275795,1,INSERT,490,16891.90,53.18,102.35,64.99,72.13,115.71,16891.90
1731296275795,2,INSERT,252,102.78,56.19,66.24,64.54,74.62,87.81,102.78
1731296275795,3,INSERT,5,129.85,95.10,110.60,104.51,129.85,129.85,129.85
1731296276302,0,INSERT,1266,83.71,51.68,57.77,57.34,61.70,70.78,81.47
1731296276302,1,INSERT,506,118.59,58.50,69.65,68.54,76.16,85.44,91.01
1731296276302,2,INSERT,252,105.66,57.73,72.79,72.96,82.81,98.50,105.66
1731296276302,3,INSERT,5,113.41,107.58,110.69,110.66,113.41,113.41,113.41
1731296276804,0,INSERT,1244,169.60,51.23,58.30,57.44,62.72,77.25,103.68
1731296276804,1,INSERT,503,130.81,59.30,69.25,67.90,77.25,93.57,122.37
1731296276804,2,INSERT,251,116.93,57.73,68.64,67.58,75.39,103.55,116.93
1731296276804,3,INSERT,5,154.62,99.33,120.28,119.61,154.62,154.62,154.62
1731296277307,0,INSERT,1187,820.74,51.10,59.98,56.61,67.45,84.03,723.46
1731296277307,1,INSERT,503,91.20,59.33,66.08,65.60,70.66,75.39,80.70
1731296277307,2,INSERT,251,119.42,55.04,67.62,66.24,76.09,91.07,119.42
1731296277307,3,INSERT,5,113.60,97.02,104.81,107.33,113.60,113.60,113.60
1731296277810,0,INSERT,1256,107.84,51.26,56.88,56.54,60.00,65.34,101.57
1731296277810,1,INSERT,502,99.33,59.04,66.37,65.73,70.72,75.78,87.23
1731296277810,2,INSERT,252,97.73,57.63,68.87,68.35,76.16,83.52,97.73
1731296277810,3,INSERT,5,99.45,94.59,96.88,97.47,99.45,99.45,99.45
1731296278313,0,INSERT,1257,76.99,51.68,57.86,57.44,61.63,66.24,76.93
1731296278313,1,INSERT,502,97.79,60.10,66.67,66.50,70.59,75.52,76.93
1731296278313,2,INSERT,251,84.80,55.01,66.60,66.62,72.64,79.04,84.80
1731296278313,3,INSERT,5,99.07,89.92,96.02,96.96,99.07,99.07,99.07
1731296278816,0,INSERT,1172,980.48,51.17,62.39,59.62,71.49,96.70,114.62
1731296278816,1,INSERT,502,124.29,59.90,67.33,66.69,72.19,79.61,103.10
1731296278816,2,INSERT,252,204.16,55.94,67.89,66.24,76.54,90.81,204.16
1731296278816,3,INSERT,5,112.45,93.12,101.02,98.43,112.45,112.45,112.45
1731296279319,0,INSERT,1209,1302.53,51.36,58.63,56.29,62.08,80.96,153.98
1731296279319,1,INSERT,502,1361.92,51.78,67.29,65.41,70.27,76.03,353.79
1731296279319,2,INSERT,251,110.72,56.22,68.06,67.26,74.69,84.16,110.72
1731296279319,3,INSERT,5,101.95,92.67,97.02,97.22,101.95,101.95,101.95
1731296279822,0,INSERT,1160,871.93,51.90,61.53,57.98,69.57,87.10,815.62
